term	uri	rigidity	identity	unity	dependence	classification	reasoning	error
LivingBeing	http://example.org/guarino-messy#LivingBeing							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""LivingBeing is rigid (+R) because any instance that is a living being must be essentially so across all possible worlds - something cannot lose the property of being a living being and remain the same individual (death would terminate its existence as that individual). It carries identity (+I) and supplies its own identity criteria (+O) through biological/organic principles that distinguish one living being from another (e.g., continuous biological organization, metabolic processes). LivingBeing has unity (+U) as instances are intrinsic wholes with integrated biological systems, not mere aggregates. It is independent (-D) because living beings exist as autonomous entities without requiring intrinsic dependence on other specific entities (though they may have external dependencies like environment, they are not intrinsically founded on other particulars). This makes LivingBeing a sortal that provides principles of identity, individuation, and persistence for its instances.""
}
```"
SocialEntity	http://example.org/guarino-messy#SocialEntity							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""-U"",
    ""dependence"": ""+D""
  },
  ""classification"": ""Category"",
  ""reasoning"": ""SocialEntity is a high-level category representing entities that exist through social construction and collective intentionality (e.g., organizations, institutions, social groups). **Rigidity (-R)**: Non-rigid because an entity can become or cease to be a social entity - a group of people can form an organization or dissolve it, while the individuals persist. **Identity (+I, +O)**: Carries and supplies identity through social recognition and institutional facts - what makes a corporation the same corporation over time is determined by social-legal frameworks, not physical continuity. **Unity (-U)**: Non-unifying because social entities can have various mereological structures - some are tightly integrated (a committee), others are loosely coupled aggregates (a social movement), and some are distributed (an online community). **Dependence (+D)**: Dependent because social entities intrinsically depend on cognitive agents for their existence through collective acceptance, recognition, or agreement - without people to recognize and participate in them, social entities cannot exist. As a Category, it's a non-rigid property that carries identity and subsumes various kinds of social constructs.""
}
```"
Location	http://example.org/guarino-messy#Location							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""-U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Category)"",
  ""reasoning"": ""Location is analyzed as a rigid property because any instance of a location must be a location in all possible worlds - a place cannot cease to be a location while continuing to exist. It carries identity (+I) as locations have identity conditions based on spatial coordinates or geographic boundaries. It supplies its own identity (+O) as locations are identified by their spatial properties independently of what occupies them. Unity is negative (-U) because locations are not necessarily intrinsic wholes - they can be arbitrarily bounded regions (e.g., 'the northwest corner of the room'). Dependence is negative (-D) as locations can exist independently - a geographic position exists regardless of whether anything occupies it. This makes Location a rigid sortal, specifically a Category, as it provides identity and essence across all instances throughout their existence.""
}
```"
Fruit	http://example.org/guarino-messy#Fruit							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""Fruit is analyzed as a botanical concept (the mature ovary of a flowering plant). Rigidity (+R): An instance that is a fruit is essentially a fruit across all possible worlds - an apple cannot cease being a fruit while continuing to exist as the same entity. Identity (+I) and Own Identity (+O): Fruit carries and supplies its own identity condition based on its biological origin and developmental structure (mature ovary containing seeds). Unity (+U): Each fruit is an intrinsic whole with clear spatial and functional boundaries - a single apple is a unified biological entity, not merely an aggregate. Dependence (-D): While fruits develop from flowers and depend on plants during formation, once mature, a fruit exists as an independent physical object that persists even when separated from the parent plant. This makes Fruit a rigid sortal (natural kind) with its own identity criteria and unity principle.""
}
```"
Vertebrate	http://example.org/guarino-messy#Vertebrate							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""Vertebrate is a biological taxonomic category referring to animals with a backbone/spinal column. RIGIDITY (+R): Being a vertebrate is essential - an organism cannot gain or lose a backbone across possible worlds; if something is a vertebrate, it is necessarily so throughout its existence. IDENTITY (+I) and OWN IDENTITY (+O): Vertebrate carries and supplies its own identity condition based on biological/anatomical structure (possession of vertebral column, specific body plan, developmental characteristics). This is a fundamental natural kind with intrinsic identity criteria. UNITY (+U): Individual vertebrates are intrinsic wholes - they are integrated organisms with systematic organization, not arbitrary sums of parts. DEPENDENCE (-D): Individual vertebrate organisms exist independently as complete entities, not requiring external entities for their existence (though they depend on environmental conditions, this is not the intrinsic dependence meant by +D). As a rigid property that supplies identity and unity, Vertebrate qualifies as a Sortal, specifically a Natural Kind in biological taxonomy.""
}
```"
Caterpillar	http://example.org/guarino-messy#Caterpillar							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""~R"",
    ""identity"": ""+I"",
    ""own_identity"": ""-O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Phase"",
  ""reasoning"": ""Caterpillar is a developmental phase in the life cycle of Lepidoptera (butterflies and moths). It is ~R (Anti-Rigid) because being a caterpillar is a temporary, essential characteristic of that life stage - an entity cannot remain a caterpillar across all possible worlds or times (it must either die or metamorphose). It carries identity (+I) inherited from the organism it is part of, but does not supply its own identity condition (-O) - the identity comes from being the same organism throughout metamorphosis. It has unity (+U) as caterpillars are intrinsic wholes with functionally integrated parts. It is independent (-D) as a caterpillar can exist without intrinsically depending on other entities. As an anti-rigid property with inherited identity and unity, it classifies as a Phase - a temporal stage in an organism's lifecycle.""
}
```"
Person	http://example.org/guarino-messy#Person							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""Person is a rigid property (+R) because an entity that is a person is necessarily a person in all possible worlds where it exists - you cannot cease being a person and continue to exist as the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on spatio-temporal continuity and psychological/biological criteria that distinguish one person from another. Person exhibits unity (+U) as each instance is an intrinsic whole with clear boundaries - a person is not merely an aggregate of parts but an integrated organism. Finally, Person is independent (-D) as persons are substance-like entities that can exist without intrinsically depending on other entities (though they may causally depend on environment, they don't have the existential dependence characteristic of qualities or moments). This makes Person a paradigmatic Sortal, specifically a Natural Kind that provides identity, unity, and rigidity to its instances.""
}
```"
LegalAgent	http://example.org/guarino-messy#LegalAgent							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""+I"",
    ""own_identity"": ""-O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Role"",
  ""reasoning"": ""LegalAgent is a non-rigid property because an entity can gain or lose legal agency status (e.g., a person becomes a legal agent through authorization, or loses it when authorization expires). It carries identity (+I) inherited from its base kind (Person, Organization), but does not supply its own identity condition (-O) - a legal agent is identified as the person or organization playing that role. It has unity (+U) as legal agents are whole entities (individual persons or organizations acting as units). It is independent (-D) as the underlying entity (person/organization) can exist without being a legal agent. The non-rigid, anti-rigid nature where being a legal agent is not essential to any instance in all contexts, combined with carrying but not supplying identity, classifies this as a Role.""
}
```"
Entity	http://example.org/guarino-messy#Entity							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""-I"",
    ""own_identity"": ""-O"",
    ""unity"": ""-U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Category"",
  ""reasoning"": ""Entity is the most general, top-level universal in ontology. It is +R (Rigid) because everything that exists is necessarily an entity in all possible worlds - it's essential to all instances. It is -I (does not carry identity) because 'entity' is too broad to provide identity conditions; specific kinds of entities have their own ICs. Consequently, it is -O (does not supply own identity). It is -U (non-unifying) because entities can be either wholes or aggregates - the property itself doesn't enforce unity. It is -D (independent) as the notion of 'entity' doesn't intrinsically require dependence on other entities to exist. As a rigid, non-identity-carrying universal, Entity is classified as a Category - the highest level of abstraction that subsumes all sortals, roles, and other properties.""
}
```"
Organization	http://example.org/guarino-messy#Organization							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""-U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Kind)"",
  ""reasoning"": ""Organization is a rigid property because an entity cannot cease being an organization and remain the same entity - if something stops being organized as an organization, it ceases to exist as that organization (e.g., a dissolved company no longer exists). It carries identity (+I) and supplies its own identity condition (+O) through criteria like founding documents, legal registration, or constitutional structure that distinguish one organization from another. Organizations show non-unity (-U) because they are typically composed of distributed parts (members, departments, assets) that don't form intrinsic wholes - they're held together by social/legal bonds rather than physical unity. Organizations are independent (-D) because while they depend on members to function, this is not an intrinsic dependence - the organization as a legal/social entity can persist through complete member turnover, making the dependence extrinsic rather than intrinsic. As a +R/+O property, Organization qualifies as a Sortal Kind.""
}
```"
Agent	http://example.org/guarino-messy#Agent							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind/Category)"",
  ""reasoning"": ""Agent is analyzed as a rigid property because anything that is an agent is essentially an agent across all possible worlds - the capacity for autonomous action and goal-directed behavior is essential to the entity's identity. It carries identity (+I) as agents are individuated by their autonomous nature and cognitive/volitional capacities. It supplies its own identity condition (+O) - being an agent provides a criterion for distinguishing one agent from another based on their autonomous existence and intentional states. Agent is unifying (+U) because instances must be intrinsic wholes capable of integrated goal-directed behavior - an agent cannot be an arbitrary sum of parts but must be a unified entity with coherent agency. Finally, agents are independent (-D) as they exist autonomously and do not intrinsically depend on other entities for their existence - their defining characteristic is precisely their capacity for independent action and self-determination.""
}
```"
Apple	http://example.org/guarino-messy#Apple							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""An apple is a rigid natural kind - anything that is an apple must remain an apple in all possible worlds where it exists (cannot cease being an apple and continue existing as the same entity). It carries and supplies its own identity condition based on biological/physical criteria (specific fruit produced by apple trees, genetic structure, etc.). Instances of apples are intrinsic wholes with natural unity - they have clear boundaries and parts that form a complete biological entity. Apples are independent entities that do not intrinsically require other entities beyond their constitutive matter to exist (though they depend causally on apple trees for origin, this is not intrinsic dependence in the ontological sense).""
}
```"
