term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Group	http://example.org/guarino-messy#Group	+R	+I	+O	+U	-D	Type	GROUP is analyzed as a rigid property (+R) because an entity that is a group remains a group in all possible worlds where it exists - it cannot cease to be a group and remain the same entity. It supplies its own identity condition (+O, which implies +I) based on which members constitute the group and the organizational structure binding them together. GROUP carries unity (+U) because instances are intrinsic wholes - a group has a unifying relation (typically functional or organizational) that binds its members together and distinguishes them from arbitrary collections. This is similar to how ORGANIZATION was treated in the paper's example. GROUP is independent (-D) as groups can exist without depending on other entities beyond their members (which are parts/constituents, not external dependencies). As a rigid property that supplies its own identity, GROUP is classified as a Type - one of the fundamental sortals in an ontology that provides the backbone taxonomy structure.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	-U	-D	Type	GroupOfPeople is rigid (+R) because any instance that is a group of people remains a group of people in all possible worlds where it exists - the same collection cannot cease to be a group of people while continuing to exist as that same entity. It carries identity (+I) and supplies its own identity condition (+O) based on the collective membership - two groups are the same if they have the same members. However, it lacks a common unity condition (-U) because groups can vary in their internal organization and cohesion (a crowd vs. an organized team have different unifying relations, yet both are groups of people). It is independent (-D) as groups can exist without depending on external entities beyond their constituent members (who are parts/constituents, not external). As a rigid property that supplies its own identity, GroupOfPeople qualifies as a Type in the ontological taxonomy.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	-I	-O	-U	+D	Formal Role	LegalAgent is anti-rigid (~R) because an entity is a legal agent only while involved in legal contracts or relationships - the same entity (person, organization) can exist without being a legal agent. It does not carry identity (-I, -O) as it represents a relational status rather than supplying identity conditions - the identity comes from the underlying entity (PERSON, ORGANIZATION). It is dependent (+D) because being a legal agent requires external legal relationships or contracts to exist. It does not impose a common unity condition (-U) across all instances, as legal agents can be persons, organizations, or countries with different unity criteria. As a formal role (~R, +D, -I), LegalAgent sits at the top of role hierarchies and can be specialized by material roles like specific legal statuses.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type	LivingBeing is a rigid property (+R) because anything that is a living being is necessarily so across all possible worlds - if something ceases to be a living being (dies), it becomes a different kind of entity (a corpse, remains). It supplies its own identity condition (+O, thus +I) based on biological continuity and life processes - we can distinguish one living being from another through their individual biological organization and life history. Living beings have unity (+U) as they are intrinsic wholes with biological organization binding their parts together functionally. They are independent (-D) as they can exist without necessarily depending on other specific entities (though they may need environmental conditions, no external dependence on another particular entity is essential to their identity). This makes LivingBeing a Type - a rigid property that supplies its own identity, representing a fundamental kind in the domain of biological entities.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Category	Location is a rigid property because anything that is a location is necessarily a location in all possible worlds (spatial or temporal regions don't cease being locations). However, Location does not supply identity conditions - we cannot determine when two locations are the same location through Location itself, as this depends on the specific nature of the location (spatial region, temporal region, etc.). The paper explicitly mentions 'LOCATION' as an example of a Category. Location does not impose unity conditions since locations can be either connected or disconnected (as stated in the paper's example). Location is independent (-D) as spatial/temporal regions don't intrinsically depend on other entities to exist. As a Category, it serves as a high-level rigid property that carves the domain into useful segments but carries no identity conditions.	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	+U	-D	Type	ORGANIZATION is rigid (+R) because an entity that is an organization remains an organization in all possible worlds where it exists - an organization cannot cease being an organization while continuing to exist as the same entity. It carries and supplies its own identity condition (+I, +O) - organizations can be identified through criteria like registration numbers, founding documents, or legal status, distinct from the identity of their members. An organization has unity (+U) as it constitutes an intrinsic whole bound by organizational structure and purpose, not merely a collection of people. While organizations depend on members to function, they are ontologically independent (-D) in the sense that the specific individuals can change while the organization persists - the organization is not externally dependent on any particular entity outside itself. As a rigid property supplying its own identity, ORGANIZATION qualifies as a Type.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Type	PERSON is a paradigmatic example of a Type. It is rigid (+R) because if x is a person, x must be a person in every possible world where x exists - one cannot cease being a person while remaining the same entity. It supplies its own identity condition (+O) through criteria like having the same fingerprints or SSN, making it also carry identity (+I). PERSON exhibits unity (+U) as each person is an intrinsic whole with topological, morphological, and functional coherence. It is independent (-D) as persons do not require external entities to exist (unlike roles such as PARENT which depend on CHILD). As a Type, PERSON is a fundamental sortal that supplies identity and serves as the backbone of an ontology, with all its instances necessarily instantiating this property throughout their existence.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type	PhysicalObject is a rigid property (+R) because anything that is a physical object is necessarily so across all possible worlds - it cannot cease being a physical object while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on spatio-temporal continuity and material constitution. As stated in the paper, 'Physical objects are taken to be isolated material entities' - they are intrinsic wholes with topological unity (+U), distinguishing them from mere amounts of matter or arbitrary collections. Physical objects are independent (-D) as they do not require external entities for their existence (unlike roles such as PARENT). As a rigid property that supplies its own identity, PhysicalObject qualifies as a Type - one of the fundamental categories in the ontology that forms the backbone taxonomy.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	+D	Attribution	RED is a paradigmatic example of an attribution property. It is anti-rigid (~R) because entities can change color - something can be red at one time and not red at another while remaining the same entity. It does not carry identity (-I, -O) because 'being red' does not provide criteria for distinguishing or re-identifying individuals across time or worlds. It does not impose unity conditions (-U) as redness can apply to wholes, parts, or aggregates indiscriminately. It is dependent (+D) because red exists as a property of colored objects - there must be something that is red. RED represents a value of an attribute (COLOR) and fits the paper's explicit characterization: 'Attributions...are non-sortal properties that are non-rigid...intuitively represents values of attributes like COLOR-OF...Examples are RED or MALE.'	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phased Sortal	RedApple is anti-rigid (~R) because an apple can change color (from green to red, or red to brown) while remaining the same apple - being red is not essential throughout its existence. It carries identity (+I) inherited from its subsuming type APPLE, which supplies the identity conditions for individuating apples. However, RedApple does not supply its own identity (-O) since the identity of a red apple is determined by it being an apple, not by its redness. It has unity (+U) as each red apple is an intrinsic whole with topological and functional unity. It is independent (-D) as red apples do not depend on external entities for their existence (the color red is an attribution/quality of the apple itself). This classification as a Phased Sortal captures that RedApple represents a temporal phase of an apple's existence - the phase when it exhibits the red color - while the same individual apple persists through color changes according to the global IC supplied by APPLE.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	+O	+U	-D	Type	SocialEntity is rigid (+R) because an entity that is fundamentally a social entity (like an organization, institution, or social group) remains so necessarily - it cannot cease being a social entity while continuing to exist as the same entity. It supplies its own identity (+O, thus +I) as social entities have distinct identity conditions based on their social constitution and purpose, separate from the physical entities that may compose them. For example, an organization maintains its identity even as its members change. It carries unity (+U) as social entities are conceived as unified wholes with internal social structure and cohesion that binds their constituents together. Social entities are independent (-D) in the sense that while they are composed of individuals, the social entity itself is not externally dependent on any particular individual outside its constitution. As a rigid property that supplies identity, SocialEntity qualifies as a Type in the ontological framework.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	-O	+U	-D	Quasi-Type	Vertebrate is a rigid property (+R) because an organism that is a vertebrate cannot cease to be one while remaining the same organism - it's an essential biological classification. It carries identity (+I) as it must be subsumed by a biological type (e.g., ANIMAL) that supplies identity conditions. However, it does not supply its own identity condition (-O), instead inheriting it from its superordinate type. The paper explicitly mentions 'VERTEBRATE-ANIMAL' as an example of a quasi-type. Vertebrates have unity (+U) as they are complete organisms with intrinsic wholeness defined by their biological structure. They are independent (-D) as they don't existentially depend on external entities for their existence (they may have constituent parts, but those are internal, not external dependencies).	
