term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"""LivingBeing"" is a broad category that includes all entities capable of biological life. This term is rigid because being a living being is an essential property for all instances in all possible worlds. It carries identity, as it provides a condition to distinguish one living being from another. It supplies its own identity condition, as the concept of a living being is defined by its own characteristics rather than being inherited from another property. Living beings can be considered wholes with unity criteria, making this term unifying. Finally, living beings are independent entities that can exist autonomously without relying on other entities for their existence."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	-I	-O	~U	-D	Mixin	"The term ""SocialEntity"" generally refers to entities that exist and function within a social context, such as groups, organizations, or roles. These entities often lack a rigid definition, as they can vary significantly in their composition and characteristics. They often do not carry a strong identity condition, as they can change members or roles without losing their essence. They are typically not intrinsic wholes but can be collections of individuals or roles. Social entities can often exist independently but may also depend on the social context for their full realization."	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	-U	-D	Role	"""Location"" can be analyzed as a property that refers to a place or position in space. It does not have a fixed or essential nature across all instances, as different locations can be occupied by various entities without changing their identity. It does not carry an intrinsic identity condition, nor does it supply its own identity condition. Locations can be either unified wholes (like a geographic region) or aggregates (like a set of coordinates). Lastly, locations can exist independently of the entities that occupy them."	
Fruit	http://example.org/guarino-messy#Fruit	-R	+I	+O	+U	+D	Sortal	"""Fruit"" is a general term that refers to the mature ovary of a flowering plant, usually containing seeds. Fruits are essential to plants for seed dispersal and reproduction. In the context of formal ontology, ""Fruit"" can be analyzed as follows:
- **Rigidity**: Fruits are a category of biological entities that have specific essential properties, such as being the mature ovary of a flowering plant. However, the term ""Fruit"" can apply to a wide range of entities, and not all fruits share the same essential properties (e.g., apples vs. bananas). Therefore, ""Fruit"" is **-R** (Non-Rigid).
- **Identity**: Fruits have an identity condition, as they can be distinguished from other biological parts of a plant. Therefore, ""Fruit"" is **+I**.
- **Own Identity**: The identity of a fruit is not solely derived from its plant or other properties but is based on its own characteristics (e.g., its structure and function). Therefore, ""Fruit"" is **+O**.
- **Unity**: Fruits are typically intrinsic wholes with clear boundaries and unity criteria (e.g., a single apple or banana). Therefore, ""Fruit"" is **+U**.
- **Dependence**: Fruits are dependent on the plant for their existence, as they grow and develop from the plant. Therefore, ""Fruit"" is **+D**."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"""Vertebrate"" is a biological classification that denotes a group of animals with a backbone or spinal column. It is essential to all instances of vertebrates in all possible worlds that they have a backbone, making it a rigid property. Vertebrates can be identified based on the presence of a backbone, which provides a clear identity condition. The identity condition is supplied by the property itself, not inherited from elsewhere. Vertebrates are also intrinsic wholes with unity criteria, as each individual vertebrate is a single, unified organism. Finally, vertebrates can exist independently and do not require another entity for their existence."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	+R	+I	+O	+U	-D	Sortal	"The term ""Caterpillar"" refers to the larval stage of a lepidopteran (butterflies and moths). Caterpillars are characterized by their distinct form and life cycle. They possess an essential nature that defines them as a specific developmental stage, which is consistent across all possible worlds. They carry their own identity condition, as each caterpillar can be recognized as a distinct individual. They supply their own identity condition, as their individuation is not dependent on external factors. Caterpillars are unifying entities, as they are complete organisms with an intrinsic unity. They are independent, as they can exist and function on their own without depending on another entity for their existence."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	"""Person"" is a well-defined and universally recognized concept. It is a rigid property because being a person is an essential characteristic that all instances must have in all possible worlds. It carries its own identity condition, as it is clear when two persons are the same or different. It also supplies its own identity condition, as the concept of a person inherently includes criteria for identifying individuals. Persons are unifying entities, as they have a coherent and intrinsic whole structure. Finally, persons are independent entities that can exist autonomously."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	-R	+I	-O	-U	+D	Role	LegalAgent is a term that refers to entities that can act within a legal framework, such as individuals, corporations, or other organizations. LegalAgent is not a rigid property because being a LegalAgent is not an essential characteristic for all instances (e.g., a person can exist without being a LegalAgent). However, it does carry an identity condition, as it specifies a distinct role or category within the legal system. It inherits its identity condition from the entities it applies to (e.g., a person or organization). Instances of LegalAgent can be unified wholes (e.g., a corporation) or aggregates (e.g., a partnership), but they are not necessarily so. LegalAgent instances depend on the legal framework and context for their existence.	
Entity	http://example.org/guarino-messy#Entity	~R	+I	-O	-U	-D	Category	"The term ""Entity"" is a very broad and fundamental concept in ontology. It is typically used to denote anything that can be considered as existing, whether it is a physical object, an abstract concept, or a state of affairs. Given the broadness of the term, it does not carry specific essential properties that apply to all instances in all possible worlds, which affects its rigidity. However, it does carry an identity condition, as any identifiable thing can be an entity. It does not supply its own identity condition, as the identity of entities is often derived from more specific categories or types. Entities are typically considered as independent and can exist autonomously, but they do not necessarily have to be unified wholes or aggregates."	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	-U	-D	Sortal	"An ""Organization"" is a structured group of people or entities working together to achieve a common goal. Organizations are essential to their instances (rigid), as being an organization is a necessary property for all its instances. Organizations carry an identity condition (identity) because they can be uniquely identified by their name, structure, and members. They supply their own identity condition (own identity) rather than inheriting it from another property. Organizations can be wholes with intrinsic unity criteria (unity) as they have a structured composition. However, they can also exist as collections of loosely connected entities. Organizations are independent (dependence) as they can exist autonomously without depending on another entity."	
Agent	http://example.org/guarino-messy#Agent	-R	-I	-O	-U	-D	Role	"""Agent"" can be seen as a role or a non-rigid property because an entity can be an agent in some contexts but not in others. It does not have a fixed essence across all possible worlds. It does not carry a unique identity condition, as being an agent does not uniquely identify an entity. It does not supply its own identity condition, as the identity of an agent is usually inherited from the underlying entity. Agents can be unified wholes (e.g., a person acting as an agent) or collections (e.g., a group acting as an agent), so they do not exhibit a clear unity. Agents can exist independently, but they often depend on a context or situation to manifest their agency."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal	"The term ""Apple"" refers to a specific type of fruit. Apples are rigid entities in the sense that being an apple is essential to all instances of apples in all possible worlds. Apples also carry an identity condition, as we can identify and distinguish specific apples based on their unique characteristics. They supply their own identity condition, as the characteristics that make an apple what it is are intrinsic to the apple itself. Apples are unifying entities, as each apple is a whole entity with a clear unity criterion. Finally, apples are independent entities, as they can exist autonomously without depending on other entities."	
