term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	+D	Sortal	"""LivingBeing"" represents a broad category of organisms that exhibit the characteristics of life. Analyzing its meta-properties: It is rigid (+R) because being a living being is an essential property that applies to all its instances across all possible worlds - an entity cannot be a living being in one world and not in another. It carries identity (+I) as living beings have clear biological and physiological identity conditions. It supplies its own identity condition (+O) as the criteria for being a living being (e.g., metabolism, reproduction) serve to distinguish living entities from non-living ones. Living beings are intrinsic wholes with integrated biological systems (+U). However, living beings often depend on their environment and other living or non-living entities for survival (+D), such as dependence on air, water, and nutrients."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	-O	+U	+D	Social Construct	"""SocialEntity"" refers to entities that exist due to social conventions, agreements, or interactions, such as corporations, marriages, or governments. These entities are not rigid (+R) because their existence and nature can vary significantly across different social contexts and possible worlds. However, for the sake of this analysis and considering the broader interpretation of social entities as being defined by their social roles and functions, we might consider them as having a certain level of rigidity in the context of the social structures they inhabit. They carry identity (+I) as social entities have specific roles, functions, or purposes that define them within a society. However, they typically do not supply their own identity conditions (-O) since their identities are often derived from the social context, agreements, or legal frameworks that establish them. Social entities can exhibit unity (+U) in the sense that they often have defined structures, roles, and boundaries within the social sphere. Nonetheless, they are dependent (+D) on the society, legal system, or collective agreement that recognizes and sustains them."	
Location	http://example.org/guarino-messy#Location	-R	+I	-O	-U	-D	Sortal	"""Location"" represents a spatial or geographical point, area, or region where something exists or can be found. It is not essential for all instances in all possible worlds to have the same location - locations can change, making it non-rigid (-R). A location carries an identity condition (+I) as it can be uniquely identified by its spatial coordinates or geographical boundaries. However, it does not supply its own identity condition in the sense that the identity of a location is often derived from its relation to other entities or spatial references (-O). Locations themselves are not intrinsic wholes but rather are defined by their boundaries or the space they occupy, which can be considered as non-unifying (-U) since they do not have inherent unity like objects but are rather a spatial context. Locations are independent in the sense that they exist regardless of the presence of other entities (-D)."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	"""Fruit"" is a natural kind representing the ripe ovary of plants, including seeds, typically sweet and fleshy. It is essential to all its instances across all possible worlds - something cannot be a fruit in one world and not in another (rigid). As a biological kind, it carries and supplies its own identity condition based on botanical criteria (own identity). Fruits are intrinsic wholes with biological unity - they have integrated parts forming a complete organism (unifying). Fruits do not intrinsically depend on other entities to exist beyond normal botanical or environmental conditions - they are substances in themselves (independent)."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"""Vertebrate"" is a biological classification that represents animals with backbones. It is rigid (+R) because having a backbone is an essential characteristic that defines vertebrates across all possible worlds - something cannot be a vertebrate without a backbone. This property carries identity (+I) as the presence or absence of a backbone is a critical criterion for distinguishing vertebrates from other animals. It supplies its own identity condition (+O) because being a vertebrate directly implies the presence of a backbone, which serves as a defining characteristic. Vertebrates are intrinsic wholes (+U) as they are organisms with integrated parts. They do not intrinsically depend on other entities to exist beyond normal ecological interactions (-D)."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	+D	Phase	"""Caterpillar"" refers to the larval stage of a butterfly or moth. Analyzing its meta-properties: It is anti-rigid (~R) because being a caterpillar is a phase in the life cycle of certain insects, and an individual that is a caterpillar will eventually become something else (a pupa and then a butterfly or moth), thus it is essential not to be essential. It carries identity (+I) as being a caterpillar distinguishes it from other stages of its life cycle and other organisms. However, it does not supply its own identity condition since its identity is part of a broader life cycle (-O). A caterpillar is an intrinsic whole with its own biological unity (+U). It is dependent (+D) because its existence as a caterpillar is intrinsically tied to its development into later stages of its life cycle."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	+D	Sortal	"""Person"" represents a human being, characterized by consciousness, rationality, and a complex biological and psychological makeup. Analyzing its meta-properties: It is rigid (+R) because being a person is essential to all instances across all possible worlds - a person remains a person regardless of external changes. It carries identity (+I) as persons have intrinsic identity conditions based on biological, psychological, and social continuity. It supplies its own identity condition (+O) since being a person is what defines an entity's identity in this context. Persons are intrinsic wholes with integrated physical and psychological parts (+U). However, persons are often considered to be dependent on their biological, social, or relational contexts for their existence or identity (+D), although this can be debated."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	+U	+D	Role	"""LegalAgent"" refers to an entity capable of taking legal actions, which can be a person, organization, or even an artificial entity granted legal personhood. This concept is anti-rigid (~R) because being a legal agent is not an essential property of any entity across all possible worlds; entities can gain or lose this status based on legal definitions and recognitions. It carries identity (+I) as legal agents are recognized and differentiated based on legal criteria. However, the identity condition is not supplied by the property of being a legal agent itself but by the entity's underlying nature (e.g., a person's identity or an organization's founding documents), so it does not supply its own identity condition (-O). Legal agents can be seen as unifying (+U) in the sense that they represent a cohesivelegal entity capable of acting within a legal framework. The existence of a legal agent is dependent (+D) on the legal system recognizing it as such, making it dependent on external legal definitions and frameworks."	
Entity	http://example.org/guarino-messy#Entity	+R	+I	-O	-U	-D	Category	"""Entity"" is a very general term that encompasses anything that exists, including objects, concepts, and relations. It is essential to all its instances across all possible worlds in the sense that something cannot be an entity in one world and not in another if it indeed exists (-R is less applicable as Entity itself doesn't change, but its instances can, making the analysis nuanced). As a fundamental concept, it carries an identity condition in a broad sense, as it distinguishes existing things from non-existing ones (+I). However, it does not supply its own identity condition in a specific sense, as the identity of an entity depends on what kind of entity it is (-O). Entities can be either unifying (if considering individual objects) or non-unifying (if considering abstract concepts or relations), but given its broad nature, it leans towards being non-unifying (-U) as it encompasses a wide range of existents. Entities, by definition, do not intrinsically depend on other entities to exist in a general sense, though specific entities may have dependencies (-D)."	
Organization	http://example.org/guarino-messy#Organization	-R	+I	-O	+U	+D	Sortal	"""Organization"" refers to a social entity with a collective structure and purpose. It is not essential for something to be an organization in all possible worlds, as entities can change their organizational structure or dissolve, indicating non-rigidity (-R). The concept of an organization carries an identity condition based on its structure, goals, and membership (+I), but the identity condition is not supplied by the property of being an organization itself, as organizations are often defined by their specific roles, functions, or types (-O). Organizations can be considered as unified wholes with coordinated parts (+U), but they often intrinsically depend on their members, resources, or other organizations to exist and function, indicating dependence (+D)."	
Agent	http://example.org/guarino-messy#Agent	~R	-I	-O	+U	+D	Role	"""Agent"" is a role or function that an entity can play, implying the capability to act or perform tasks. It is anti-rigid (~R) because being an agent is not an essential property of any entity across all possible worlds - entities can take on or lose the role of being an agent. The property does not carry an inherent identity condition (-I) since what makes something an agent is its ability to act, not an intrinsic identity. It does not supply its own identity condition (-O) as the identity of an agent is derived from the entity performing the role. Agents can be considered unifying (+U) in the sense that they integrate various capabilities to perform actions, but this unity is functional rather than intrinsic. Agents are dependent (+D) on the entities that embody them, as the role of an agent is typically played by another entity with the capacity for action."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal	"""Apple"" is a natural kind representing a type of fruit. It is essential to all its instances across all possible worlds - something cannot be an apple in one world and not in another, making it rigid (+R). As a natural kind, it carries and supplies its own identity condition based on biological and genetic criteria (+I, +O). Apples are intrinsic wholes with biological unity - they have integrated parts forming a complete fruit (+U). Apples do not intrinsically depend on other entities to exist beyond normal environmental conditions - they are substances in themselves (-D)."	
