term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"""LivingBeing"" is a higher-level sortal category that encompasses all entities that possess biological processes and characteristics. It carries its own identity condition based on its defining criteria (metabolic and organizational processes). Living beings are intrinsically unifying entities (+U), as their parts are integrated and organized for the whole's functioning. Living beings must exist in dependence on a non-living environment (-D), as they require sustenance and suitable conditions to survive."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	-I	-O	+U	+D	"Category or Sortal (depending on the specific interpretation of ""SocialEntity"")"	"""SocialEntity"" refers to an abstract concept or category that encompasses entities whose properties or relations arise from human interaction or social grouping. Since social entities can come into existence, change, or cease to exist based on human interaction, their classification as social entities may not be essential across all possible worlds. Therefore, SocialEntity exhibits non-rigid behavior (-R). It carries a general identity criterion as an abstract concept, implying it can be indirectly identified with entities that exhibit social behavior (-I). Social entities themselves, however, don't typically depend on the social entities that constitute them (-O), though they are made up of individual entities. Social entities are wholes in the sense that they represent collective phenomena (+U). However, defining social entities necessitates considering their dependence on interactions or groups, suggesting a certain level of dependence on other entities for their existence (+D)."	
Location	http://example.org/guarino-messy#Location	-R	+I	-O	-~U	+D	Role	"""Location"" refers to a spatial position or place where something exists or can be found. It's a concept often tied to properties like coordinates, altitude, or other spatial extent markers. Since different things can have the same location (think of a house and a store being next to each other), this property is not rigid to any particular entity. However, it does carry identity - being a location is something that can have its own unique identifying features, inherited from spatial structures or addresses. Instaces of a location are typically not unified wholes (e.g., you could split a field in two separate locations). Notably, a location by definition depends on something in which it can be located within (say a house, a country, etc)."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	"""Fruit"" is a sortal, a category of things that includes a variety of types (e.g., apples, bananas, pineapples). As a sortal, fruits assume a natural classification basis that ranks instances based on intrinsic properties (type, species). The essential properties that define a fruit are universal across the category, making it rigid (+R). Fruits inherently have identity criteria that can be determined by their inherent characteristics and extension determination. As all fruits accommodate their ICs internally, the property also supplies its own identity condition (+O). Instances of fruits are generally intrinsic wholes (+U), containing the essential attributes that constitute their existence. Since its essential attributes are about itself, it's independent (-D)."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	-R	+I	+O	+U	-D	Sortal (Biological Category)	"""Vertebrate"" refers to a biological category that is primarily defined by the presence of a vertebral column. Vertebrates include animals with backbones such as mammals, birds, fish, reptiles, and amphibians. As a category, Vertebrate does not have a rigid definition that remains constant across all possible worlds, as some animals may evolve to lose their vertebral columns (or never had them in the first place). However, this category is used to highlight a specific set of biological characteristics that define vertebrates. Vertebrates provide their own identity condition based on these characteristics. They are typically considered intrinsic wholes (complete organisms), and vertebrates are generally independent entities that don't intrinsically depend on other individuals to exist."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	-U	+D	Phase	"""Caterpillar"" is a biological phase or life stage in the development of certain insects in the order Lepidoptera, preceding the adult stage (butterfly). Like other phases, it does not carry a special rigid identity since what is a caterpillar at one time might be a butterfly at another. This suggests Anti-Rigidity (~R). As the instance of a caterpillar inherits its identity condition from ""caterpillar""-ness, it carries identity criteria (+I). Caterpillars do not supply their own IC but inherit it from their stage or function. They are considered non-unified wholes as they are composed of different body parts that come together at different times in their life. They are also dependent on external environmental cues (e.g., food, temperature) to ensure successful transition to the adult phase."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	"""Person"" is a sortal referring to entities with a defined and persistent existence. People can change their lives, but their fundamental identity remains, existing regardless of time or location. This suggests that persons are rigid entities in all possible worlds where they exist. As a sortal, Person carries its own identity condition, furthermore, it supplies its own identity criteria, making instances identifiable as long as they satisfy the sortal. Instances of people are considered unified entities composed of various properties and aspects, integrating their existence into a single individual. This entity can take actions and has thoughts and beliefs, without needing something else's influence to exist, thus they are considered independent."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	-I	-O	+U	-D	Role	"""LegalAgent"" refers to a social construct (a Role) designating entities (naturally or artificially) representing persons or organizations that can engage in legal actions or legally binding agreements. Categories of legal agents are rigid, but individual agents may change over time or across different legal contexts. Entities that are legal agents do carry the identity condition inherited from their roles or designations (-I). It doesn't supply its own global Identity Condition since its identity is the property of being a legal entity (-O). Legal agents are not intrinsically wholes but rather abstract roles that can be concretely exemplified by a myriad of individuals and organizations (+U). Legal agents are independent (-D). Thus, Legal Agent is a Role."	
Entity	http://example.org/guarino-messy#Entity	~R	-I	-O	~U	+D	Mixin (ontologically very broad and inclusive category)	"""Entity"" is a very broad term referring to anything that exists or has existence. Being an entity doesn't carve reality at the joints; it's an overly inclusive and vague category. It doesn't imply a specific identity criteria, nor does it supply a unique one (-I, -O). Any metaphysically privileged entity-bearer qualifies. Furthermore, entity is an ontologically neutral sortal that doesn't inherently provide (intrinsic) unity or disunity (~U). Finally, entities can fundamentally depend on something to exist (e.g., abstract entities depend on language), so they are dependent (+D)."	
Organization	http://example.org/guarino-messy#Organization	+R	+I	-O	+U	-D	Sortal (Genuine Sortal)	"""Organization"" is a sortal category that refers to a specific type of entity that exists in the form of a group or a body, often with its own governance structure and set of goals. Organizations carry an identity condition based on their constitution, membership, and legal status. They are typically independent entities that exist on their own and are not necessarily dependent on other entities to exist. However, organizations often require functional unity and cohesion among their members to operate effectively."	
Agent	http://example.org/guarino-messy#Agent	-R	+I	-O	+U	-D	Category	"As previously analyzed, ""Agent"" is a term that refers to entities capable of acting or performing actions. It's often used as a role category, implying non-rigidity (-R). The property carries identity criteria inherited from its instances (persons, organizations, software agents), but doesn't supply its own unique identity condition (-O). Instances of agents are typically unified wholes (+U), and agents don't fundamentally depend on external entities for their existence (-D)."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal	"""Apple"" is a sortal concept - a category that specifies a kind of entity with certain intrinsic properties. An entity is an apple if it belongs to the species Malus domestica, fulfilling specific identity conditions (spawned from other apples, belonging to the apple plant species). It supplies its own unique identity condition based on species membership (+O), as it's a singular category with general applicability. Instances of apples are intrinsic wholes with functional unity, each complete with parts contributing to the whole (+U). They are independent entities, not fundamentally depending on other entities to exist, though they may be affected by external factors (-D)."	
