term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Non-Unitary Sortal (Aggregate)	A Group is rigid because its members couldn't cease to be a group and remain the same entity. It supplies its own identity conditions based on its membership composition. It is anti-unity (~U) because it is defined as a sum or collection of parts rather than an intrinsic whole with a specific topological connection. It is dependent (+D) because a group cannot exist without the members that constitute it.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	-D	Sortal (Collective)	A GroupOfPeople is rigid (+R) because if an entity is a group, it cannot cease to be a group without losing its identity. it supplies its own identity condition (+O/+I) based on its membership composition. It is anti-unity (~U) because, as a collection, it is a sum of its parts (individuals) rather than a single intrinsic whole with a topological connection.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	-R	+I	-O	-U	-D	Non-Rigid Mixin	LegalAgent is non-rigid because it is not essential for all its instances (e.g., a Person may be a LegalAgent at one time and not another). It carries identity (+I) inherited from its specific sub-types (Person, Organization) but does not supply a single global identity condition (+O) because it covers disjoint taxonomies with different identity criteria. It is non-unifying (-U) as it applies to entities with different unity criteria.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type / Sortal	Being a 'Living Being' is essential to its instances (Rigid); an animal cannot cease being alive and remain the same entity. It supplies its own identity conditions (living organisms have specific criteria for persistence over time) and implies a unified whole (Unity) rather than a mere collection of parts.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	+D	Non-Sortal / Attribute	Location is typically a rigid property (an entity's spatial existence is essential to its identity in a specific context), but it acts as a non-sortal because it does not supply a unique identity condition (it is often a coordinate or a relation to a reference frame). It is dependent on the existence of a spatial manifold or the objects occupying it.	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	+U	+D	Type (Substantial Sortal)	Organization is a Rigid property because an instance cannot cease to be an organization without ceasing to exist. It supplies its own Identity Condition (+O, +I) often defined by legal registration or structural formation. It exhibits Unity (+U) as its members form a functional whole. It is Dependent (+D) because an organization requires the existence of constituent agents or a legal framework to exist.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Substantial Sortal	A person is a Substantial Sortal because it is rigid (if someone is a person, they cannot cease to be a person without ceasing to exist), it provides its own unique identity condition for its instances, and it represents a unified whole that does not inherently depend on the existence of another specific entity for its definition.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject								"Error parsing JSON response from LLM.
Raw output: {
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Types (Sortal)"",
  ""reasoning"": ""A PhysicalObject is rigid because an entity cannot cease to be a physical object without ceasing to exist. It supplies its own identity conditions (spacetime continuity) and carries a unity condition as it represents a discrete whole rather than an arbitrary sum of matter."",
}"
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Attributive Mixin	Red is non-rigid because a physical object can change color and still exist. It does not carry or supply an identity condition (we do not identify objects solely by their 'redness'). It is non-unifying because parts of a red object are also red, yet they don't necessarily constitute a single whole.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Attributive Property / Sub-Kind	RedApple is non-rigid because an apple can change color (e.g., from green to red or vice versa) without losing its identity as an apple. It carries identity (+I) and unity (+U) inherited from the 'Apple' sortal, but it does not supply its own unique identity condition (-O) over and above being an apple.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	-I	-O	-U	+D	Non-Sortal / Mixin	SocialEntity is likely a rigid property as a social entity cannot cease to be one without losing its existence, but it does not supply global identity conditions because identity depends on specific sub-types (e.g., Person vs Organization). It is a Mixin as it characterizes entities across different hierarchies. Finally, it is dependent because it requires a social context or underlying physical agents to exist.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	-I	-O	+U	-D	Non-substantial Sortal	Vertebrate is Rigid because an animal that possesses a backbone cannot cease to be a vertebrate and still exist. It is a Non-substantial Sortal because while it carries identity (+I), it likely inherits it from a higher-level category like 'Animal', thus it does not supply its own unique global identity condition (-O). It is +U as vertebrates are unified whole organisms, and -D as they do not require a separate external object to exist (unlike a Role).	
