term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	LivingBeing is a rigid property because any entity that is a living being is necessarily a living being in all possible worlds where it exists. An entity cannot be the same individual while transitioning from being a living being to a non-living being or vice versa - the cessation of life marks the end of that individual's existence as that particular entity. While a living being can die and become a corpse, the corpse is not the same entity in the strict identity sense; it is a different kind of thing (dead matter). Therefore, being a living being is an essential property that holds necessarily for all its instances throughout their existence.	LivingBeing carries an identity condition. Living beings can be distinguished and re-identified over time through biological continuity - the same organism maintains its identity through continuous metabolic processes, genetic material, and spatio-temporal continuity despite replacing parts. For example, a particular cat or tree can be tracked as the same individual organism across time through its biological integrity and continuity of life processes. This is a necessary IC (biological continuity) that allows us to say 'this is the same living being I saw yesterday' even if it has grown or changed some cells. LivingBeing is therefore a sortal property (+I).	LivingBeing supplies its own identity condition. As a fundamental biological category, it provides a global identity criterion based on biological continuity and organizational unity - the same living organism persists through time by maintaining continuous biological processes and organizational integrity, despite changing parts (cells die and are replaced). This IC is distinct from purely physical/material identity (which would be mereologically extensional) and cannot be inherited from a more general property. Subsumed properties like PERSON, ANIMAL, or PLANT may add additional identity conditions, but they inherit this basic biological IC from LivingBeing.	LivingBeing carries a unity condition as all its instances are intrinsic wholes with clear mereological structure. Living beings maintain topological and functional unity through biological integration - their parts (organs, cells, tissues) are bound together by physiological relationships and dependencies. A living being persists as an integrated organism throughout its existence, with parts that cannot be arbitrarily selected or scattered. The biological unity condition (metabolic integration, homeostatic regulation) holds essentially for any living being across its entire lifespan, making instances intrinsic wholes under a well-defined equivalence relation of biological connectivity.	LivingBeing is externally independent. While living beings require certain conditions to exist (air, nutrients, suitable environment), they do not exhibit external notional dependence on another property in the formal ontological sense. A living being's existence does not necessarily require the existence of some other distinct entity that is neither a part of it nor constitutes it. The dependencies living beings have are either on their constituent parts (organs, cells) or on environmental conditions, not on external entities in the way that PARENT depends on CHILD or STUDENT depends on SCHOOL. Living beings can exist as autonomous entities without being defined by a necessary relationship to other discrete entities.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	SocialEntity is a fundamental category that defines entities constituted by social relations and collective intentionality. If something is a social entity (like an organization, institution, or social group), it is essentially so by virtue of its ontological nature - it exists through social construction and collective recognition. An entity cannot be a social entity in some possible worlds and not in others while remaining the same entity. If something loses its social nature entirely, it ceases to be that social entity and becomes a different kind of entity altogether (e.g., a physical aggregate). Unlike specific social roles (which are anti-rigid), the category SocialEntity itself represents a rigid type classification - similar to how PhysicalObject is rigid even though specific phases or roles of physical objects are not.	SocialEntity carries an identity condition. Social entities (such as organizations, institutions, groups, or social roles) have principled ways to distinguish and re-identify their instances over time. For example, a corporation can be identified by its legal registration, charter, or continuity of purpose and structure; a social group can be identified by its membership and organizational structure. While social entities may be abstract or dependent on collective intentionality, they maintain identity conditions that allow us to say 'this is the same organization/group' across time, even as membership or other attributes change. The IC may be inherited from more specific rigid properties (like Organization, Institution) that supply specific identity criteria, but SocialEntity as a category carries the capacity for identity.	SocialEntity supplies its own identity condition. Social entities (organizations, groups, institutions) have identity conditions based on their social structure, membership rules, and constitutive documents that are distinct from both physical objects and abstract entities. A company maintains identity despite complete turnover of members/employees, changes in physical assets, and even changes in purpose - its identity is tied to social-legal continuity (charter, registration, social recognition). This IC is not inherited from a more general property but is specific to the social ontological category, making SocialEntity supply its own global identity condition.	SocialEntity is a highly abstract category that encompasses diverse types of social constructs including both integrated wholes (like organizations, corporations, teams) and non-integrated aggregates (like social groups, populations, communities). While some instances may be intrinsic wholes under specific unity conditions (e.g., a corporation with functional unity through organizational structure), others are merely collections without clear mereological integration (e.g., a demographic group, an online community). There is no single equivalence relation ω that provides a common unity condition for all social entities. Therefore, SocialEntity does not carry a unity condition (+U) but its instances may vary - some being wholes and others not, making it -U rather than ~U.	SocialEntity represents a broad category encompassing socially constructed entities (organizations, institutions, groups, roles, etc.). While specific subtypes may exhibit dependence (e.g., Employee depends on Organization, Student depends on Educational Institution), the top-level category itself does not carry inherent external dependence. A SocialEntity as a general construct can exist without necessarily requiring instances of another specific entity type outside itself. The dependence property should be determined at more specific levels of the taxonomy where particular social relationships create necessary dependencies, not at this abstract foundational level.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Attribution or Quality	Location is a rigid property because anything that is a location is necessarily a location in all possible worlds. A spatial region or place cannot cease to be a location while remaining the same entity - it is essential to its nature. Even if a location becomes empty or unused, it remains a location. This is similar to how a Person is necessarily a Person - the property is essential to all instances across all possible worlds.	Location does not carry an identity condition. A location is fundamentally a spatial position or region, but there is no principled way to distinguish one instance of 'location' from another over time or to determine when two locations are 'the same' location. While we can refer to locations using coordinates or descriptions (e.g., '123 Main Street'), these are external naming conventions rather than intrinsic identity conditions. The concept of location itself doesn't provide criteria for re-identification - if boundaries shift slightly, or if we're talking about a vague region, there's no clear principle for determining sameness. Location functions more as a role or relational concept (where something is) rather than a sortal that supplies identity criteria for distinguishing and tracking individual instances.	Location does not supply its own identity condition. While locations can be identified (e.g., by coordinates, addresses, or spatial boundaries), Location as a general property is too abstract to supply a specific identity criterion. More specific subtypes of Location (like GeographicalRegion, Address, SpatialPoint) would supply their own identity conditions. Additionally, since the Identity analysis determined this entity is -I (does not carry identity), it cannot be +O, as supplying an identity condition (+O) requires carrying one (+I).	Location does not carry a unity condition. While specific locations may have spatial boundaries, the property Location itself does not impose a requirement that all its instances be intrinsic wholes under a common equivalence relation ω. Locations can be continuous regions (a city), disconnected parts (an archipelago considered as one location), or arbitrary spatial designations. There is no single mereological unity condition that applies to all instances of Location - some locations may be topologically unified while others are scattered or arbitrarily bounded. The property allows for both unified and non-unified instances, thus it is -U rather than +U or ~U.	Location is independent (-D) because instances of locations can exist without depending on other entities external to them. A location exists as a spatial region or place regardless of whether anything occupies it or references it. While locations may contain objects or be related to other locations, they do not intrinsically require the existence of any external entity to exist themselves. An empty location is still a location. This contrasts with dependent entities like 'Student' which cannot exist without an educational institution, or 'Parent' which cannot exist without a child.	
Fruit	http://example.org/guarino-messy#Fruit	~R	+I	+O	+U	-D	Role or Phase (Anti-rigid)	Fruit is anti-rigid because it represents a phase or stage in the life cycle of a botanical structure. A fruit (in botanical terms) develops from a flower's ovary after fertilization and exists as a fruit only during a specific period. The same physical matter that constitutes a fruit was previously part of a flower and may later become decomposed organic matter or seeds. An entity that is a fruit at time t1 is not necessarily a fruit at all times - it contingently instantiates the property FRUIT during a particular developmental phase. Therefore, being a fruit is an optional property for all its instances, making it anti-rigid (~R).	Fruit carries an identity condition. Each fruit is a discrete physical object with spatio-temporal continuity that can be individuated and re-identified over time. A specific apple, for example, maintains its identity through time via its material constitution and spatio-temporal trajectory, even as it may ripen or decay. We can distinguish one fruit from another and track the same fruit across time, satisfying the requirements for carrying an IC. As a physical object, Fruit inherits identity conditions related to material continuity and spatio-temporal location, even if it doesn't supply its own unique IC (it would be +I but likely -O).	Fruit supplies its own identity condition as a rigid natural kind. The identity of a fruit is determined by its specific biological origin and development (which flower/ovary it developed from, its genetic makeup, its continuous developmental history from fertilization through maturation). This IC is not inherited from a more general property but is supplied by Fruit itself as a fundamental biological category. While Fruit may be subsumed by more general properties like Physical Object or Organism, the specific identity condition relevant to fruits qua fruits - tied to their botanical origin and developmental continuity - is supplied at this level. Two fruits are the same fruit if and only if they share the same botanical developmental history and physical continuity, which is a condition specific to the sortal Fruit.	A fruit is an intrinsic whole with a clear unity condition based on both topological and functional integration. Each fruit instance (an apple, an orange, a berry) maintains mereological unity through biological organization - its parts (skin, flesh, seeds, core) are topologically connected and functionally integrated as a unified botanical structure. The fruit persists as a whole throughout its existence with a stable equivalence relation binding its parts. Even when a fruit has distinct components (like segments in an orange), these parts are bound by the biological unity condition that defines the fruit as a complete organism or organ. This makes Fruit a +U property, as all its instances are intrinsic wholes under their respective unity conditions.	A fruit, once it exists as a physical object (after developing from a plant), does not intrinsically require the continued existence of other specific entities to maintain its own existence. While fruits originate from plants, once formed they can exist independently - they can be separated from the parent plant and continue to exist as distinct physical objects. The fruit's existence is not externally dependent on the plant, the tree, or any other entity in the technical sense defined (where an instance must necessarily have some other instance exist that is not a part or constituent of it). A fruit is a complete, self-sustaining physical object with its own identity criteria.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Vertebrate is a rigid property because having a vertebral column (backbone) is an essential biological characteristic that cannot be lost or gained by an individual organism. If an entity is a vertebrate, it is necessarily a vertebrate in all possible worlds where that entity exists - a dog cannot cease being a vertebrate while remaining the same individual organism. This is a fundamental anatomical feature that defines the entity's biological identity throughout its existence.	Vertebrate carries an identity condition. As a biological kind, vertebrates can be individuated and re-identified over time through multiple criteria: genetic makeup (DNA), biological continuity (spatio-temporal continuity of the organism), and anatomical structure (presence of a vertebral column in the same organism). Each individual vertebrate maintains its identity through time despite changes in properties - a vertebrate that grows, molts, or changes location remains the same individual vertebrate. This IC is inherited from more general biological sortals like ORGANISM or ANIMAL, which supply identity conditions based on biological continuity and genetic constitution.	Vertebrate supplies its own identity condition based on having a specific vertebral column/spinal structure. While it is a biological kind like Animal, it provides a more specific structural criterion for identity - the presence and configuration of vertebrae forming the backbone. This is a rigid property that supplies a necessary condition for being the same vertebrate across time (maintaining the same vertebral structure/nervous system organization), rather than merely inheriting a general biological identity condition. The vertebrate identity is tied to this specific anatomical feature that distinguishes it from other animals and provides its own basis for individuation.	Vertebrate carries a unity condition. All instances of Vertebrate are biological organisms with integrated anatomical structures centered around the vertebral column (backbone). Each vertebrate is an intrinsic whole under a biological/topological unity condition - their parts (organs, skeletal structure, nervous system) are functionally and spatially connected throughout their existence. The vertebral column itself provides a structural principle of integration, and all vertebrates maintain mereological integrity as living organisms with clear boundaries and internal organization. This satisfies Definition 11, as there exists an equivalence relation (biological connectivity/functional integration) such that all instances are intrinsic wholes under this relation throughout their existence.	Vertebrate is independent (-D) because individual vertebrates can exist without necessarily requiring the existence of other entities that are not their parts or constituents. While vertebrates may have ecological relationships (predator-prey, symbiosis) or biological dependencies (parents for reproduction), these are not intrinsic existential dependencies in the ontological sense. A vertebrate exists as a complete organism with its backbone (part) and body (constitution) without requiring external entities to maintain its existence. The definition of external dependence requires that an instance necessarily depends on some other instance that is neither a part nor constituent - vertebrates do not meet this criterion.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Role or Phase (Anti-rigid)	Caterpillar is anti-rigid because it represents a temporary phase in the life cycle of certain organisms (butterflies and moths). Every instance of a caterpillar is necessarily not always a caterpillar - it will undergo metamorphosis to become a butterfly or moth. No caterpillar can remain a caterpillar in all possible worlds while maintaining its identity as the same organism. This is a paradigmatic example of a phase sortal: all instances must eventually cease to be caterpillars while continuing to exist as the same individual in a different life stage.	Caterpillar carries an identity condition. As a biological organism (larval stage of a butterfly/moth), each caterpillar instance can be distinguished and re-identified over time through biological identity criteria such as continuous spatio-temporal existence, genetic identity (DNA), and physical continuity. Individual caterpillars maintain their identity throughout their larval development despite changes in size and appearance. The identity condition is inherited from superordinate properties like ORGANISM or LIVING THING, which supply biological identity criteria that allow us to track the same caterpillar across time and distinguish it from other caterpillars.	Caterpillar is the larval stage of butterflies and moths. While it carries an identity condition (+I) inherited from broader biological entities, it does not supply its own identity condition. The identity of a caterpillar is grounded in the identity of the underlying organism (the insect) that persists through metamorphosis from caterpillar to butterfly/moth. The property CATERPILLAR is phase-dependent and non-rigid - the same organism exists before and after being a caterpillar. Therefore, the identity condition is supplied by a more fundamental rigid property like INSECT or ORGANISM, not by CATERPILLAR itself.	A caterpillar is a living organism with a highly integrated biological structure. Its parts (segments, organs, nervous system, digestive tract, etc.) are functionally and topologically connected, forming a unified whole with clear boundaries. Each caterpillar maintains this unity condition throughout its existence as a caterpillar (until metamorphosis). The parts are not arbitrary but constitute an intrinsic whole under biological/functional unity - the organism functions as an integrated system where parts work together for survival and growth. This satisfies Definition 10 as an intrinsic whole under a biological unity relation.	A caterpillar is an independent biological organism that exists as a self-contained entity. While it depends on environmental resources like food and habitat (as all living things do), it does not have an essential external notional dependence on another entity that must exist outside of itself. The caterpillar's existence is not inherently tied to the existence of some other specific entity beyond its own parts and constitution. It is a complete organism in its larval stage, not requiring another entity (like how PARENT requires CHILD) to exist as a caterpillar.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Person is a rigid property because if something is a person, it is necessarily a person in all possible worlds where it exists. An entity cannot cease to be a person while remaining the same individual - personhood is an essential characteristic that holds necessarily for all its instances. This is a paradigmatic example of rigidity, as mentioned in the background text itself.	PERSON is a canonical example of a property that carries an identity condition. Instances of PERSON can be distinguished and re-identified through various identity criteria such as DNA, fingerprints, social security numbers, or spatio-temporal continuity of a human body. As mentioned in the background text, PERSON carries identity conditions like 'having-the-same-SSN' or 'having-the-same-fingerprints' that satisfy the identity formula. Additionally, PERSON is a rigid property (something cannot be a person at one time and not a person at another while remaining the same entity), which allows it to supply (not just carry) an identity condition. This makes PERSON a sortal - a property that provides principled criteria for individuating and re-identifying its instances across time.	Person is a rigid property that supplies its own identity condition. It provides a global, necessary and sufficient condition for identity (e.g., having the same DNA, fingerprints, or SSN) that distinguishes one person from another across time. As a fundamental sortal, Person does not inherit its identity condition from a more general property - it establishes the criteria for what makes the same person at different times. Properties like Student, Employee, or Child would inherit their identity conditions from Person, but Person itself supplies the foundational IC for personal identity.	Person carries a unity condition (+U) because all instances are intrinsic wholes with a clear biological unity condition. Each person maintains topological and functional unity throughout their existence - all parts of a person are connected through biological systems (circulatory, nervous, etc.) and nothing else satisfies this same connection relation with those parts. A person's bodily parts are maximally self-connected under the biological organism unity condition (omega), and this unity persists necessarily throughout the person's existence. This makes Person a paradigmatic example of a property carrying unity, as persons are integrated biological wholes rather than arbitrary aggregates.	Person is externally independent. While persons require various things to exist (oxygen, food, etc.), these are not external dependencies in the ontological sense defined here. A person does not necessarily require the existence of another distinct entity (that is not a part or constituent of them) to exist. Unlike PARENT which requires CHILD, or STUDENT which requires EDUCATIONAL INSTITUTION, a person can exist as an individual without necessarily requiring any specific other entity external to themselves. The dependencies persons have (like needing a body or biological parts) are internal - these are parts or constituents of the person, not external entities.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	+O	-U	-D	Role or Phase (Anti-rigid)	LegalAgent is anti-rigid because it represents a role or status that entities acquire contingently through legal recognition. An entity (whether a person or organization) can gain legal agency status (e.g., when a person reaches legal age of majority, or when a corporation is officially registered) and can lose it (e.g., through legal incapacitation, dissolution of a corporation, or death). No entity is necessarily a legal agent in all possible worlds - it is an acquired, contingent status dependent on legal frameworks and conditions. All instances of LegalAgent could possibly not be legal agents, making it anti-rigid rather than merely non-rigid.	LegalAgent carries an identity condition. Legal agents (whether persons or organizations) must be uniquely identifiable within legal systems for accountability, rights, and obligations. They are assigned persistent legal identifiers (e.g., social security numbers for individuals, registration numbers for corporations) and have principled criteria for re-identification across time. A legal agent at time t1 can be recognized as the same legal agent at time t2 through legal documentation, registration status, and continuity of legal personality. This satisfies the sortal requirement that instances can be distinguished and tracked diachronically.	LegalAgent supplies its own identity condition. As a fundamental legal concept, it establishes identity based on legal recognition and standing - entities are the same legal agent if they have the same legal personality/status under law. This is distinct from physical identity (for persons) or organizational identity (for corporations). LegalAgent is a rigid property that provides its own criterion: legal agents are identical if and only if they possess the same legal personhood. This IC is not inherited from a more general property but is intrinsic to the legal domain, making LegalAgent +O.	LegalAgent does not carry a common unity condition for all its instances. While all instances are intrinsic wholes (persons have biological unity, organizations have functional/legal unity), there is no single equivalence relation omega that unifies all legal agents. Natural persons maintain unity through biological integration, while legal persons (corporations, partnerships) maintain unity through legal and functional relations. Since different subkinds of LegalAgent have incompatible unity conditions, LegalAgent itself does not satisfy Definition 11 which requires 'there exists an equivalence relation omega such that all its instances are intrinsic wholes under omega.' This is explicitly mentioned in the background text as an example: 'Legal Agent, all of whose instances are intrinsic wholes (some people, some companies), however there is not a single relation omega for all of them.'	LegalAgent represents entities that can bear legal rights and obligations (persons, organizations, etc.). While legal agents exist within legal systems and their legal status depends on legal frameworks, the entities themselves (the persons or organizations) do not intrinsically depend on other specific entities for their existence. A person exists as a physical being independent of being recognized as a legal agent, and an organization can exist as a collective independent of other specific entities. The legal agency is a status or capability, not an existential dependence. Therefore, LegalAgent is marked as -D (independent).	
Entity	http://example.org/guarino-messy#Entity	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	Entity is the most general ontological category - anything that exists is necessarily an entity. If something is an entity (i.e., it exists), it cannot cease to be an entity while continuing to exist. There is no possible world where something that is an entity could exist but not be an entity. This makes Entity a rigid property that necessarily holds for all its instances across all possible worlds.	Entity is a rigid property that serves as the top-level sortal in ontological hierarchies. It carries an identity condition because every entity must be distinguishable and re-identifiable across time - this is the fundamental requirement of existence itself. The identity condition for Entity would be based on spatio-temporal continuity or some form of principled individuation that allows us to say 'this entity at time t1 is the same as that entity at time t2'. While Entity may not supply a specific IC (that role is left to more specialized properties), it certainly carries one, as per the Sortal Individuation assumption that 'every domain element must instantiate some property carrying an IC'. Entity being the most general property that everything instantiates, must itself carry an IC to satisfy Quine's dictum 'No entity without identity'.	Entity is the most fundamental, top-level property in any ontology. It cannot inherit an identity condition from any more general property (since there is none more general). Therefore, Entity must supply its own identity condition - typically based on numerical identity or spatio-temporal coincidence. As the ultimate rigid property that subsumes all domain elements, Entity provides the foundational IC that all other properties either inherit or specialize.	Entity is the most general category encompassing everything that exists. Its instances include wholes (like persons, cars), non-wholes (like amounts of matter, scattered objects), and aggregates (like collections). Since Entity subsumes properties with incompatible unity conditions (+U, -U, and ~U), it cannot itself carry a unity condition. There is no single equivalence relation omega under which all entities are intrinsic wholes. Therefore, Entity is -U (non-unifying) - it does not carry a unity condition, though some of its instances may be wholes under their more specific properties.	Entity is the most fundamental and general category in any ontology, representing anything that exists or can be conceived of. By its nature as the top-level universal, Entity does not intrinsically depend on any other entities for its existence. All other categories are specializations of Entity, but Entity itself stands as the maximally independent category. Instances of Entity (which encompasses everything that exists) do not require the existence of other external entities as a necessary condition for their being. Entity provides the foundation upon which all other categories are built, making it necessarily independent (-D).	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	Organization is a rigid property because anything that is an organization is necessarily an organization in all possible worlds where it exists. An organization cannot cease to be an organization and remain the same entity - if it dissolves or fundamentally changes its nature, it ceases to exist as that organization. While organizations can change their members, structure, or activities, these changes occur within the essential nature of being an organization. An entity cannot be 'temporarily' an organization in the way a person can be temporarily a student. The property of being an organization is essential to the identity of any instance throughout its existence.	Organization carries an identity condition. Organizations can be distinguished and re-identified over time through criteria such as legal registration numbers, founding documents, continuity of purpose and structure, and social/legal recognition. An organization maintains its identity even as its members change (complete turnover of employees doesn't make it a different organization), and we can track the same organization diachronically (e.g., IBM in 1950 is the same organization as IBM today despite changes in personnel, location, and even business focus). The IC might include criteria like: having the same legal charter, maintaining institutional continuity, or preserving organizational identity through succession rules. This allows us to distinguish Organization A from Organization B and re-identify the same organization across time.	Organization supplies its own identity condition. As a rigid sortal, it establishes the global identity criteria for organizational entities - such as continuity of legal structure, mission, and institutional identity - that persist even when members, locations, or activities change. This is distinct from and not inherited from more general properties. An organization maintains identity through time independent of physical composition (unlike Physical Object) and through criteria specific to institutional/collective entities.	Organization does not carry a common unity condition for all its instances. While individual organizations (a specific company, a particular NGO) are intrinsic wholes with functional unity based on organizational structure and purpose, there is no single equivalence relation omega that applies uniformly to all organizations. Different types of organizations have different unity conditions: a corporation has different structural integration than a club or a committee. Additionally, organizations can exist as single legal entities or as loose confederations. Some instances may be tightly integrated wholes while others may be loosely structured federations. Therefore, Organization does not satisfy Definition 11's requirement of a single equivalence relation omega for all instances, making it -U rather than +U. It is not ~U because individual organizations are intrinsic wholes, just not under a common UC.	Organization is externally independent. While an organization requires members (people) to exist, these members are constituent parts of the organization itself, not external entities. According to the definition, external dependence requires that the dependent entity necessarily requires some instance of another property that is 'not a part nor a constituent' of it. Since members constitute the organization (they are its parts), Organization does not exhibit external notional dependence on any property. An organization can exist as a complete entity with its constituent members without depending on external entities.	
Agent	http://example.org/guarino-messy#Agent	~R	+I	+O	+U	-D	Role or Phase (Anti-rigid)	Agent is anti-rigid because it represents a role or capacity that entities possess contingently. An entity can be an agent in some possible worlds (when performing actions or having agency) and not be an agent in others (when not acting or lacking agency). For example, a person is necessarily a person (+R), but that same person is only contingently an agent - they are an agent when they act, but the property of being an agent is not essential to their identity. All instances of Agent could possibly not be agents, making this an anti-rigid property typical of roles.	Agent carries an identity condition. Agents are entities capable of acting, and each agent instance can be distinguished and re-identified over time through its continuous causal history, behavioral patterns, and capacity for autonomous action. Whether the agent is a person, organization, or artificial system, there exists a principled way to track the same agent across time through its persistent identity as an acting entity. The identity condition is grounded in the agent's continuous existence as a unified actor with agency, making it possible to distinguish one agent from another and recognize the same agent at different times.	Agent supplies its own identity condition. As a rigid property that defines entities capable of acting and bearing responsibility, Agent establishes fundamental identity criteria based on continuity of agency, action-bearing capacity, and the persistence of the entity as a locus of intentional behavior. Unlike more specific properties like 'Person' or 'Organization' that might refine these conditions, Agent provides the foundational identity condition for all entities that can act—namely, that the same agent is one that maintains continuity as a subject of actions across time. This is a global identity condition that Agent supplies rather than merely inheriting from a more general property.	Agent carries a unity condition (+U) because all instances of agents must be intrinsic wholes under some equivalence relation. Agents, whether persons (biological unity), organizations (functional unity), or AI systems (computational unity), must maintain integrated, self-connected structures to exhibit agency. An agent cannot be a scattered, arbitrary collection of parts - it requires coordinated parts working together to perceive, decide, and act. While different types of agents may have different unity conditions (persons have biological/topological unity, organizations have functional unity), each agent instance is necessarily an intrinsic whole throughout its existence. The capacity for autonomous action and goal-directed behavior inherently requires mereological integration, making Agent a +U property.	An Agent is independent because instances of Agent can exist without intrinsically depending on other specific entities external to themselves. While agents may interact with, act upon, or relate to other entities in their environment, they do not require the necessary existence of any particular external entity (that is not a part or constituent of themselves) to exist as agents. The capacity for agency - the ability to act, make decisions, or exert influence - is an intrinsic property that does not create existential dependence on external entities. Unlike roles such as PARENT (which depends on CHILD) or STUDENT (which depends on SCHOOL), being an agent does not necessitate the existence of any specific external entity.	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Apple is a rigid property because anything that is an apple is necessarily an apple in all possible worlds. An apple cannot cease to be an apple while remaining the same individual - it can rot, be eaten, or decompose, but these represent destruction of the entity rather than a change in its essential nature. The property of being an apple is a sortal property that provides identity criteria for its instances throughout their existence. An apple doesn't 'stop being an apple' and become something else; rather, the apple ceases to exist as a coherent entity.	Apple carries an identity condition. As a physical object and natural kind, individual apples can be distinguished and re-identified through spatio-temporal continuity and physical constitution. Each apple instance maintains identity over time through continuous existence in space-time, even as it undergoes changes (ripening, decay). We can distinguish one apple from another and track the same apple across different times through its spatio-temporal trajectory and physical persistence, making it a sortal property.	Apple, as a natural kind referring to individual fruit instances, supplies its own identity condition. Each apple has spatial-temporal continuity and mereological identity conditions that distinguish it from other apples - same matter composition, same spatial location over time, same physical boundaries. While it may inherit broader identity principles from PHYSICAL OBJECT or FRUIT, Apple as a basic-level natural kind establishes its own specific identity criteria for what makes one apple the same apple over time (e.g., continuous physical structure, biological integrity). This is distinct from just carrying an inherited IC - Apple supplies the sortal level at which we individuate and count these particular entities.	An apple is an intrinsic whole with clear mereological structure where all parts (skin, flesh, core, seeds) are topologically and functionally connected through a biological unity condition. The parts form an integrated biological organism (or fruit of an organism) with maximal self-connectedness. An apple maintains this unity condition throughout its existence as an apple - if it is divided or its parts are separated significantly, it ceases to be an apple and becomes apple parts or pieces. This satisfies Definition 11: there exists an equivalence relation (biological/topological connection) under which all instances of Apple are intrinsic wholes.	An apple is a physical fruit object that exists independently once it has formed. While it originates from an apple tree, once the apple exists as a discrete entity, it does not require the continued existence of any other specific external entity to maintain its own existence. The apple has its own independent existence as a physical object, with its parts (skin, flesh, seeds) being constituents of the apple itself rather than external dependencies. Therefore, Apple carries the -D meta-property indicating independence.	
