constraint	severity	sub_label	sub_rigidity	sub_identity	sub_own_id	sub_unity	sub_dep	sub_class	sup_label	sup_rigidity	sup_identity	sup_own_id	sup_unity	sup_dep	sup_class	description	sub_uri	sup_uri
I1	VIOLATION	muscle system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003012	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	muscle tension response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000022	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	muscle tension response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000010	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	muscle tension response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000019	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	nervous system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050877	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000001	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	regulation of body fluid levels	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050878	http://purl.obolibrary.org/obo/GO_0065008
I1	VIOLATION	respiratory system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003016	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	sweat secretion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0160269	http://purl.obolibrary.org/obo/GO_0065008
I1	VIOLATION	sweat secretion response to anxiety	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000026	http://purl.obolibrary.org/obo/GO_0065008
I1	VIOLATION	sweat secretion response to emotion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000008	http://purl.obolibrary.org/obo/GO_0065008
I1	VIOLATION	sweat secretion response to fear	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000025	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	Smooth Muscle Contraction	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	body fluid secretion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0007589	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	circulatory system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003013	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	cognition	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050890	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	cognitive appraisal process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000014	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	cognitive response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000024	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	cognitive response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000013	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	cognitive response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000023	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	heart process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003015	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased breathing rate response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000030	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased breathing rate response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000012	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased breathing rate response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000029	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased heart response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000028	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased heart response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000011	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	increased heart response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000027	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	muscle system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003012	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	muscle tension response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000022	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	muscle tension response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000010	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	muscle tension response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000019	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	nervous system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050877	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000001	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	regulation of body fluid levels	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050878	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	respiratory system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003016	http://purl.obolibrary.org/obo/GO_0003008
U1	VIOLATION	sweat secretion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0160269	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	sweat secretion response to anxiety	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000026	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	sweat secretion response to emotion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000008	http://purl.obolibrary.org/obo/GO_0065008
U1	VIOLATION	sweat secretion response to fear	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+U(super) not inherited: unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000025	http://purl.obolibrary.org/obo/GO_0065008
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	nervous system process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/GO_0050877
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	multicellular organismal process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/GO_0032501
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	cognition	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/GO_0050890
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/BFO_0000015
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.bioontology.org/ontology/EMRO/0000001
U2	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	biological_process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/GO_0008150
U2	VIOLATION	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	biological regulation	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0065008	http://purl.obolibrary.org/obo/GO_0065007
U2	VIOLATION	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0065008	http://purl.obolibrary.org/obo/BFO_0000015
U2	VIOLATION	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	biological_process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0065008	http://purl.obolibrary.org/obo/GO_0008150
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	nervous system process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/GO_0050877
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	multicellular organismal process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/GO_0032501
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	cognition	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/GO_0050890
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/BFO_0000015
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.bioontology.org/ontology/EMRO/0000001
U2	VIOLATION	sensory experience	+R	+I	+O	+U	-D	Sortal	biological_process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/GO_0008150
U2	VIOLATION	system process	+R	+I	+O	+U	+D	Process	multicellular organismal process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003008	http://purl.obolibrary.org/obo/GO_0032501
U2	VIOLATION	system process	+R	+I	+O	+U	+D	Process	process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003008	http://purl.obolibrary.org/obo/BFO_0000015
U2	VIOLATION	system process	+R	+I	+O	+U	+D	Process	biological_process	+R	-I	-O	~U	+D	Process	~U(super) not inherited: anti-unity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003008	http://purl.obolibrary.org/obo/GO_0008150
O1	WARNING	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	system process	+R	+I	+O	+U	+D	Process	+O(sub) ∧ +O(super): both supply own identity condition — possible IC conflict	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/GO_0003008
O1	WARNING	sensory experience	+R	+I	+O	+U	-D	Sortal	system process	+R	+I	+O	+U	+D	Process	+O(sub) ∧ +O(super): both supply own identity condition — possible IC conflict	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/GO_0003008
