uri	label	definition	parent_label
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1908	Drug, Food, Chemical or Biomedical Material	An organic or inorganic substance, element, isotope, food or other materials derived from microorganism, plant, or animal sources. They can be used for the prevention, diagnosis, treatment or research of disease states, for industrial purposes, or for the promotion or maintenance of organism viability or health.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431	Activity	An active process; excludes processes and mechanisms which fulfill biological functions.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20633	Biochemical Pathway	A series of biochemical reactions which occurs in a known sequence and can result in all or part of the initiation, progression or completion of a biological process or function.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17828	Biological Process	An activity occurring within an organism, between organisms or among organisms and the mechanisms underlying such events.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548	Gene Product	A protein, RNA or a complex that contains proteins and/or RNA.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17671	Nuclear Receptor	Proteins that regulate transcription via interaction with chromatin and basal transcription machinery at the promoter regions of genes. Nuclear receptors are ligand-dependent transcription factors including steroids, retinoids, vitamin D, unliganded thyroid hormone, and orphan receptors (unknown ligands). Coregulators (coactivators or corepressors) are important in mediating these interactions and thereby modulate positive or negative receptor activity.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1288	Recombinant Granulocyte-Macrophage Colony-Stimulating Factor	A recombinant therapeutic agent which is chemically identical to or similar to the endogenous glycoprotein cytokine growth factor granulocyte-macrophage colony stimulating factor (GM-CSF). Therapeutic GM-CSF induces the clonal expansion and differentiation of progenitor blood cells and stimulates the cytotoxicity of monocytes and neutrophils, thereby restoring immune function and host antitumor immune responses and stimulating engraftment of transplanted bone marrow tissue. (NCI04)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19950	Transmembrane Transport	Any subcellular or molecular process involved in translocation of a biological molecule across a cell membrane from one site or compartment to another. (NCI)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250	Organism	A living entity.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C913	Recombinant Tumor Necrosis Factor-Alpha	A recombinant therapeutic agent which is chemically identical to or similar to the endogenous cytokine tumor necrosis factor-alpha with antineoplastic properties.  Tumor necrosis factor-alpha binds to and activates "death receptors" on the cell surface, resulting in apoptosis and cell death by the p53-independent extrinsic pathway. This agent also disrupts tumor vascularization. (NCI04)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97325	Manufactured Object	A physical object created by hand or machine.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3910	Molecular Abnormality	A molecular or cytogenetic abnormality which occurs in either human disease states or disease models.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22187	Experimental Organism Diagnosis	A condition or observation that is relevant to disease states, models of disease or characterization of those conditions in a non-human organism; this includes conditions or observations in organisms used in research settings.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16691	HLA Class I Histocompatibility Antigen, A-2 Alpha Chain	HLA class I histocompatibility antigen, A-2 alpha chain (365 aa, ~41 kDa) is encoded by the human HLA-A gene. This protein is involved in antigen presentation.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12218	Chemotherapy Regimen or Agent Combination	A combination of multiple drugs used in standard or clinical trial treatments. The order, dosage or dosing interval of the individual ingredients may not be specified.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80280	Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	A term referring to a group of diffuse large B-cell lymphomas which are biologically heterogeneous. These lymphomas have a centroblastic, immunoblastic, or anaplastic morphology.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057	Disease, Disorder or Finding	A condition that is relevant to human neoplasms and non-neoplastic disorders.  This includes observations, test results, history and other concepts relevant to the characterization of human pathologic conditions.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20426	Fibroblast Growth Factor	A family of structurally-related growth factors with high affinity for heparin. These proteins modulate cell proliferation, angiogenesis, wound healing, embryogenesis and paracrine signaling pathways. Fibroblast growth factors (FGF) stimulate signal transduction through binding to specific members of the fibroblast growth factor receptors (FGFR) family tyrosine kinases.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4917	Lung Small Cell Carcinoma	A highly aggressive carcinoma with neuroendocrine differentiation that arises from the lung. It is characterized by the presence of malignant small cells and more than 10 mitoses per 2 mm2. Necrosis is frequently seen. Metastatic disease is usually present at the time of diagnosis.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3208	Lymphoma	A malignant (clonal) proliferation of B- lymphocytes or T- lymphocytes which involves the lymph nodes, bone marrow and/or extranodal sites. This category includes Non-Hodgkin lymphomas and Hodgkin lymphomas.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7478	Malignant Esophageal Neoplasm	A primary or metastatic malignant neoplasm involving the esophagus.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37005	Neoplastic Medium-Sized B-Lymphocyte with Basophilic Cytoplasm		
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7286	Ovarian Monodermal Teratoma	A teratoma that arises from the ovary and is characterized by the presence of tissues derived exclusively from one embryonic germ cell layer.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C583	Recombinant Interferon Gamma	A recombinant therapeutic agent which is chemically identical to or similar to the endogenous lymphokine interferon gamma (IFN-gamma) with antineoplastic, immunoregulatory, and antiviral activities. Therapeutic IFN-gamma binds to and activates the cell-surface IFN-gamma receptor, stimulating antibody-dependent cytotoxicity and enhances natural killer cell attachment to tumor cells. This agent also activates caspases, thereby inducing apoptosis in malignant cells. (NCI04)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2929	Squamous Cell Carcinoma	A carcinoma arising from squamous epithelial cells.  Morphologically, it is characterized by the proliferation of atypical, often pleomorphic squamous cells.  Squamous cell carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated.  Well differentiated carcinomas are usually associated with keratin production and the presence of intercellular bridges between adjacent cells.  Representative examples are lung squamous cell carcinoma, skin squamous cell carcinoma, and cervical squamous cell carcinoma.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3167	Acute Lymphoblastic Leukemia	Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood. It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6906	Atypical Teratoid/Rhabdoid Tumor	An aggressive malignant embryonal neoplasm arising from the central nervous system. It is composed of cells with a large eccentric nucleus, prominent nucleolus, and abundant cytoplasm. Mutations of the SMARCB1 gene or very rarely SMARCA4 (BRG1) gene are present. The vast majority of cases occur in childhood. Symptoms include lethargy, vomiting, cranial nerve palsy, headache, and hemiplegia.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101091	BCOR Gene	This gene plays a role in the repression of gene transcription.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8287	Bilateral Breast Carcinoma	Carcinoma that affects both breasts in a simultaneous or non-simultaneous manner.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5214	Breast Adenocarcinoma	The most common histologic type of breast carcinoma.  Representative examples include invasive ductal carcinoma not otherwise specified, ductal carcinoma in situ, inflammatory carcinoma, secretory carcinoma, signet ring cell carcinoma, tubular carcinoma, invasive lobular carcinoma, and lobular carcinoma in situ.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2960	Condyloma Acuminatum	A sexually transmitted papillary growth caused by the human papillomavirus. It usually arises in the skin and mucous membranes of the perianal region and external genitalia.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C190402	EBV-Related T/NK-Cell Lymphoproliferative Disorder	T/NK-cell lymphoproliferative disorder that is associated with Epstein-Barr virus.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7558	Endometrial Carcinoma	A malignant tumor arising from the epithelium that lines the cavity of the uterine body.  The vast majority of endometrial carcinomas are adenocarcinomas; squamous cell and adenosquamous carcinomas represent a minority of the cases.  Endometrioid adenocarcinoma is the most frequently seen variant of endometrial adenocarcinoma.  Uterine bleeding is an initial clinical sign.  The prognosis depends on the stage of the tumor, the depth of myometrial wall invasion, and the degree of differentiation.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43341	Extraocular Sebaceous Carcinoma	A rare variant of sebaceous carcinoma that does not affect the ocular region.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7132	Glandular Cell Neoplasm	A benign or malignant, primary or metastatic epithelial neoplasm affecting the glandular cells.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3058	Glioblastoma	The most malignant astrocytic tumor (WHO grade 4).  It is composed of poorly differentiated neoplastic astrocytes and is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation, and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. (Adapted from WHO)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20427	Hematopoietic Growth Factor	Endogenous growth factors which promote the development of blood cells.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9357	Hodgkin Lymphoma	A lymphoma characterized by the presence of relatively few malignant cells called Reed-Sternberg cells and mononuclear Hodgkin cells that are admixed with nonneoplastic inflammatory cells. The malignant cells have a distinctive immunophenotype; they are positive for CD30 and CD15 and negative for CD3, CD20, and CD45.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9245	Invasive Breast Carcinoma	A carcinoma that infiltrates the breast parenchyma.  The vast majority are adenocarcinomas arising from the terminal ductal lobular unit (TDLU).  Often, the invasive adenocarcinoma co-exists with ductal or lobular carcinoma in situ.  It is the most common carcinoma affecting women.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4105	Keratinizing Squamous Cell Carcinoma	Squamous cell carcinomas with morphologically prominent production of keratin.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9384	Kidney Carcinoma	A carcinoma arising from the epithelium of the renal parenchyma or the renal pelvis.  The majority are renal cell carcinomas.  Kidney carcinomas usually affect middle aged and elderly adults.  Hematuria, abdominal pain, and a palpable mass are common symptoms.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3193	Lipomatosis	A neoplastic process characterized by diffuse overgrowth of mature adipose tissue.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35346	Lymph Node Disorder	A non-neoplastic or neoplastic disorder that affects the lymph nodes.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3222	Medulloblastoma	A malignant, invasive embryonal neoplasm arising from the cerebellum or posterior fossa. It occurs predominantly in children and has the tendency to metastasize via the cerebrospinal fluid pathways. Signs and symptoms include truncal ataxia, disturbed gait, lethargy, headache, and vomiting. There are four histologic variants: classic medulloblastoma, large cell/anaplastic medulloblastoma, desmoplastic/nodular medulloblastoma, and medulloblastoma with extensive nodularity.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3230	Meningioma	A generally slow growing tumor attached to the dura mater. It is composed of neoplastic meningothelial (arachnoidal) cells. It typically occurs in adults, often women and it has a wide range of histopathological appearances. Of the various subtypes, meningothelial, fibrous and transitional meningiomas are the most common. Most meningiomas are WHO grade 1 tumors, and some are WHO grade 2 or 3 tumors. Most subtypes share a common clinical behavior, although some subtypes are more likely to recur and follow a more aggressive clinical course. (Adapted from WHO)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9290	Myeloid Neoplasm	Proliferation of myeloid cells originating from a primitive stem cell.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3211	Non-Hodgkin Lymphoma	Distinct from Hodgkin lymphoma both morphologically and biologically, non-Hodgkin lymphoma (NHL) is characterized by the absence of Reed-Sternberg cells, can occur at any age, and usually presents as a localized or generalized lymphadenopathy associated with fever and weight loss. The clinical course varies according to the morphologic type. NHL is clinically classified as indolent, aggressive, or having a variable clinical course. NHL can be of B-or T-/NK-cell lineage.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2880	Ovarian Sertoli-Leydig Cell Tumor	A benign or malignant sex cord-stromal tumor arising from the ovary. It is characterized by the presence of neoplastic Leydig cells. Signs and symptoms include hirsutism, menorrhagia and metrorrhagia. It may be associated with trisomy 8.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9344	Pineoblastoma	A poorly differentiated malignant embryonal neoplasm arising from the pineal region.  It usually occurs in children and it is characterized by the presence of small immature neuroepithelial cells.  It may follow an aggressive clinical course.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4863	Prostate Carcinoma	One of the most common malignant tumors afflicting men.  The majority of carcinomas arise in the peripheral zone and a minority occur in the central or the transitional zone of the prostate gland.  Grossly, prostatic carcinomas appear as ill-defined yellow areas of discoloration in the prostate gland lobes.  Adenocarcinomas represent the overwhelming majority of prostatic carcinomas.  Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic carcinoma.  Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy.  Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1410	Recombinant Human Stem Cell Factor	A therapeutic glycoprotein cytokine chemically identical to or similar to endogenous human stem cell factor with hematopoietic activity. Recombinant human stem cell factor (rhSCF) binds to the receptor tyrosine kinase c-kit, which may stimulate the growth of peripheral blood progenitor cells (PBPCs). This agent works synergistically with other hematopoietic growth factors. rhSCF may promote bone marrow recovery after myeloablative therapies and procedures.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7712	Uveal Melanoma	A melanoma derived from melanocytes of the uveal tract.  It is the most common primary intraocular tumor in the United States and Western Europe.  Similar to melanoma of the skin, it is rare in Africa and Asia.  Diagnostic procedures include ophthalmoscopic exam, fluorescein angiography and ultrasound.  Treatment includes: surgical excision of the eye, iridocyclectomy and tumor resection.  Recent treatments also include radiotherapy or photo coagulation.  Classification of uveal melanomas recognizes four cell types within these tumors: epithelioid, intermediate, mixed cell, and spindle cell types.  The spindle cell type uveal melanomas are further sub-classified as spindle cell type A and spindle cell type B.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25396	Access	The right to obtain or make use of or take advantage of something (as services or membership); the right to enter.  Also, an act or means of approaching.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112918	Accessory	Something added to extend a whole and to make an addition.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C198513	Accommodations	A temporary place to stay, such as a hotel or similar space. It is sometimes used to include the associated food and services.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86038	Accomplishment	Something that has been achieved or completed successfully.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86039	Adjudication	The final judgment in a legal proceeding.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25412	Affiliation	A formal association between entities.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1708	Agent	An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60761	Aim	The goal intended to be attained (and which is believed to be attainable).	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25418	Amplification	Addition of extra material.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1513	Analog	A synthetic chemical which structurally or functionally resembles a naturally occurring compound.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72889	Appreciation	To be fully aware of the value of something; realize fully.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25424	Approach	A way of entering or leaving.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75603	Artifact	A structure or appearance that is not naturally present, but has been introduced though manipulation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63548	Assembly	A group of parts that fit together to form a self-contained unit.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62281	Assent	Agreement with a statement or proposal to do something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94860	Asymmetry Index	A normalized measure of a difference between 2 quantities, expressed as a percentage difference of either their mean or their sum, whichever is defined by a user.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79889	Authority	A person or group with the power or right to give orders or make decisions for a particular area of activity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16315	Award	A prize given for achievement in a specific area, including monies given on the basis of merit.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25154	Axis	A straight line through a body or figure that satisfies certain conditions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45782	Background	Existing conditions, especially those that would be confused with the phenomenon to be observed or measured.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C203650	Bad Debt	Loans or outstanding balances owed that are no longer deemed recoverable and must be written off.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25213	Baseline	A starting point to which things may be compared.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25430	Basis	The fundamental assumptions underlying an explanation or a relation that provide the foundation for something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67073	Batch	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47895	Benchmark	A standard by which something can be measured or judged.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25387	Benefit	The positive effects of something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28232	Bias	Any deviation of results or inferences from the truth, or processes leading to such deviation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71739	Blackout	A suspension of service (especially of radio or tv broadcasting).	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80507	Border	A boundary line or the area immediately inside the boundary.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69010	Bulk	Large size, volume, or amount.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19161	Business Rules		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25372	Category	A grouping of items based on some commonality or by user defined characteristics.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48694	Cell	Any small compartment.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41207	Chain	A series of objects linked, connected, or associated together in linear fashion (e.g., the assemblage of atoms, radicals and chemical groups in a chemical compound, or an assemblage of individual microorganisms).	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44170	Channel	An independent acquisition scheme, i.e., a route or conduit through which flows data consisting of one particular measurement using one particular parameter.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165459	Checkbox	A space on a paper form or an on-screen graphical display that can be filled or selected to choose an option.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142429	Clinical Generalizability	The extent to which the findings of a clinical trial can be reliably extrapolated from the subjects who participated in the trial to a broader patient population and a broader range of clinical settings. (ICH)	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25162	Code	A symbol or combination of symbols which is assigned to the members of a collection.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45974	Computer Programming Object	In object-oriented programming, an object is a self-contained entity that consists of both data and procedures to manipulate the data.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80013	Conceptual Parent	Something from which one or more similar and separate things have developed, or to which they are attached.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79892	Concern	A matter of interest or importance.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54033	Conclusion	A position or opinion or judgment reached after consideration.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16466	Confidentiality	Treatment of information so that it is not divulged in ways that are inconsistent with the understanding of the original disclosure. Particularly, the ethical principle or legal right that a physician or other health professional will hold secret all information relating to a patient, unless the patient gives consent permitting disclosure.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25460	Consent	Permission to do something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84378	Construct	An abstract or general idea inferred or derived from specific instances.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44476	Content	Everything that is included in a collection, container, or communication.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63325	Context	The universe of discourse that surrounds a language unit and helps to determine its interpretation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61300	Convention	Something regarded as a normative example.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44465	Coordinate	A number or other designation that identifies a position relative to an axis or grid.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67336	Copy	A secondary representation, reproduction, or replica.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69088	Cost	The amount paid, charged, or engaged to be paid, for purchasing goods, services and financial instruments.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C171441	Countermeasure	An action taken against something undesirable or unwanted.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25379	Course	Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93215	Crime	An act that is punishable by law; illegal activities in general.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25466	Criterion	That which constitutes a standard from which a judgment can be established, a reference point against which other things can be evaluated, or a basis for comparison.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62220	Cure	Serving or tending to restore health; a remedy.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70828	Curve	A connected set of points constituting a one-dimensional continuum.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61555	Damage	Physical harm reducing the value, operation, or usefulness of something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41002	Data Element	A unit of data for which the definition, identification, representation and permissible values are specified by means of a set of attributes.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48693	Data Table	A set of data arranged in rows and columns.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C205688	Debt	Money that one person or entity owes or is required to pay to another person or entity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53285	Decision	A position, opinion, or judgment reached on an issue under consideration.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150047	Decompensation	The inability of an organ or organ system to maintain homeostasis due to functional overload, often caused by the presence of disease intrinsic to the organ or organ system, or dysfunction in other organ systems.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85987	Default	Failure to meet an obligation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43429	Defect	A failing or deficiency.	Conceptual Entity
